Rundvekt;CatchLat;CatchLon;Location;Date
12000.0;67.555;12.845;(67.555, 12.845);2019-06-19
6000.0;67.65;12.8;(67.65, 12.8);2019-06-20
9000.0;67.542;13.031;(67.542, 13.031);2019-06-20
4000.0;67.956;13.401;(67.956, 13.401);2019-06-21
4000.0;67.947;13.695;(67.947, 13.695);2019-06-21
15000.0;67.651;13.071;(67.651, 13.071);2019-06-23
35000.0;67.781;13.156;(67.781, 13.156);2019-06-28
37000.0;67.848;13.267;(67.848, 13.267);2019-06-28
25000.0;67.934;13.428;(67.934, 13.428);2019-06-29
25000.0;67.883;13.362;(67.883, 13.362);2019-06-29
20000.0;67.778;13.188;(67.778, 13.188);2019-06-30
14000.0;67.985;13.95;(67.985, 13.95);2019-07-01
12000.0;67.853;13.281;(67.853, 13.281);2019-07-02
24000.0;67.933;13.651;(67.933, 13.651);2019-07-02
10000.0;67.917;13.567;(67.917, 13.567);2019-07-02
8000.0;67.918;13.6;(67.918, 13.6);2019-07-02
6000.0;67.952;13.867;(67.952, 13.867);2019-07-02
5000.0;67.984;13.95;(67.984, 13.95);2019-07-02
8000.0;67.787;13.481;(67.787, 13.481);2019-07-03
7000.0;67.59;12.881;(67.59, 12.881);2019-07-03
23000.0;67.602;13.099;(67.602, 13.099);2019-07-04
36000.0;67.652;13.142;(67.652, 13.142);2019-07-04
50000.0;67.618;13.48;(67.618, 13.48);2019-07-05
50000.0;67.582;13.549;(67.582, 13.549);2019-07-05
44000.0;67.598;12.704;(67.598, 12.704);2019-07-06
15000.0;67.642;13.47;(67.642, 13.47);2019-07-06
45000.0;67.62;13.535;(67.62, 13.535);2019-07-07
2000.0;67.196;12.387;(67.196, 12.387);2020-06-14
2000.0;67.359;12.813;(67.359, 12.813);2020-06-15
6000.0;67.324;12.837;(67.324, 12.837);2020-06-15
3000.0;67.257;12.68;(67.257, 12.68);2020-06-15
4000.0;67.427;12.99;(67.427, 12.99);2020-06-16
13000.0;67.892;13.172;(67.892, 13.172);2020-06-17
4000.0;67.928;13.372;(67.928, 13.372);2020-06-17
4000.0;68.098;14.194;(68.098, 14.194);2020-06-17
15000.0;68.113;14.27;(68.113, 14.27);2020-06-17
4000.0;68.08;14.175;(68.08, 14.175);2020-06-20
1500.0;68.056;14.094;(68.056, 14.094);2020-06-20
14000.0;67.967;13.35;(67.967, 13.35);2020-06-20
16000.0;67.767;13.283;(67.767, 13.283);2020-06-21
